Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Decimal Places,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Effective_Date,This information comes from Table_Order (createdon),Date and time,Date only,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Effective_Date,osot_effective_date,,,,,,User local,,Disabled,TRUE,FALSE
Expiry_Date,This information comes from Table_Membership_Settings (osot_year_ends),Date and time,Date only,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Expires_Date,osot_expires_date,,,,,,User local,,Disabled,TRUE,FALSE
Insurance_Type,This information comes from Table_Order_Product (osot_product_name),Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Insurance_Type,osot_insurance_type,,,,,,,255,Disabled,TRUE,FALSE
Insurance_Limit,This information comes from Table_Order_Product (osot_insurance_limit),Currency,,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Insurance_Limit,osot_insurance_limit,,0,"922,337,203,685,477",,Currency precision,,,Disabled,TRUE,FALSE
Insurance_Price,This information comes from Table_Order_Product (osot_selectedprice),Currency,,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Insurance_Price,osot_insurance_price,,0,"922,337,203,685,477",,Currency precision,,,Disabled,TRUE,FALSE
Insurance_Status,Define the status of the current insurance certificate. (insurance-status.enum.ts),Choice,,Simple,Business required,TRUE,TRUE,TRUE,,FALSE,TRUE,Choices_Insurance_Status,None,insurance-status.enum.ts,,,,,,osot_Insurance_Status,osot_insurance_status,,,,,,,,,TRUE,FALSE
Total,This information came from Table_Order_Product (osot_itemtotal),Currency,,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Total,osot_total,,0,"922,337,203,685,477",,Currency precision,,,Disabled,TRUE,FALSE
Privilege,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,FALSE,TRUE,Choices_Privilege,Owner,privilege.enum.ts,,,,,,osot_Privilege,osot_privilege,,,,,,,,,TRUE,FALSE
Access_Modifiers,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,FALSE,TRUE,Choices_Access_Modifiers,Private,access-modifier.enum.ts,,,,,,osot_Access_Modifiers,osot_access_modifiers,,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_Insurances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
